Datum,Eröffnung,Hoch,Tief,Schluss,Währung,Volumen
2021-08-25,99.64,100.18,98.4,98.48,EUR,0
2021-08-26,98.21,98.74,97.53,98.49,EUR,0
2021-08-27,99.36,99.78,98.48,99.09,EUR,0
2021-08-30,98.58,98.73,97.26,97.28,EUR,0
2021-08-31,97.67,99.83,97.49,99.26,EUR,0
2021-09-01,100.44,100.58,99.64,100.13,EUR,0
2021-09-02,99.68,100.97,99.68,99.94,EUR,0
2021-09-03,101.05,101.11,99.17,99.56,EUR,0
2021-09-06,98.95,98.95,98.19,98.32,EUR,0
2021-09-07,97.85,98.58,97.63,97.86,EUR,0
2021-09-08,97.48,97.58,95.82,95.85,EUR,0
2021-09-09,94.87,95.92,94.69,95.84,EUR,0
2021-09-10,95.64,95.64,93.57,93.79,EUR,0
2021-09-13,90.79,92.92,90.79,91.57,EUR,0
2021-09-14,90.63,90.87,89.69,90.87,EUR,0
2021-09-15,90.02,90.25,89.38,89.95,EUR,0
2021-09-16,89.52,89.54,88.63,89.24,EUR,0
2021-09-17,90.11,90.95,89.96,90.69,EUR,0
2021-09-20,89.85,91.52,88.78,91.37,EUR,0
2021-09-21,90.46,91.31,90.16,90.71,EUR,0
2021-09-22,90.76,90.76,89.65,89.91,EUR,0
2021-09-23,90.01,91.15,89.85,90.1,EUR,0
2021-09-24,89.91,90.27,89.17,89.38,EUR,0
2021-09-27,87.82,90.06,87.71,89.8,EUR,0
2021-09-28,89.23,90.02,89.03,89.12,EUR,0
2021-09-29,88.54,88.64,87.95,88.36,EUR,0
2021-09-30,88.35,88.35,86.77,87.49,EUR,0
2021-10-01,86.85,87.9,86.3,86.73,EUR,0
2021-10-04,86.06,87.54,85.96,87.26,EUR,0
2021-10-05,87.4,87.66,86.71,87.39,EUR,0
2021-10-06,85.42,86.16,84.95,85.92,EUR,0
2021-10-07,84.29,85.1,82.92,84.37,EUR,0
2021-10-08,84.44,84.8,83.18,83.18,EUR,0
2021-10-11,84.75,85.04,82.65,82.79,EUR,0
2021-10-12,82.24,83.5,82.15,82.25,EUR,0
2021-10-13,82.73,84.1,82.73,83.73,EUR,0
2021-10-14,83.44,83.94,83.11,83.91,EUR,0
2021-10-15,83.66,83.68,82.83,83.14,EUR,0
2021-10-18,83.13,83.25,80.66,81.08,EUR,0
2021-10-19,81.48,82.46,80.46,82.34,EUR,0
2021-10-20,82.64,83.07,81.91,81.92,EUR,0
2021-10-21,81.45,83.98,81.37,83.82,EUR,0
2021-10-22,83.66,84.09,82.22,82.22,EUR,0
2021-10-25,82.05,82.77,81.5,82.46,EUR,0
2021-10-26,83.29,85.06,83.29,84.3,EUR,0
2021-10-27,83.73,83.93,82.46,82.51,EUR,0
2021-10-28,82.38,83.33,82.24,83.33,EUR,0
2021-10-29,83.37,84.82,83.37,84.24,EUR,0
2021-11-01,85.59,85.59,83.42,83.67,EUR,0
2021-11-02,83.31,86.68,82.99,86.14,EUR,0
2021-11-03,86.45,86.58,84.87,84.92,EUR,0
2021-11-05,84.68,85.42,84.09,85.23,EUR,0
2021-11-08,85.1,85.1,83.78,84.54,EUR,0
2021-11-09,84.23,84.89,83.63,83.79,EUR,0
2021-11-10,82.7,83.18,81.83,82.61,EUR,0
2021-11-11,79.38,79.83,79.08,79.28,EUR,0
2021-11-12,82.84,83.09,80.33,80.65,EUR,0
2021-11-15,80.59,81.92,80.48,80.88,EUR,0
2021-11-16,80.33,81.67,79.97,81.08,EUR,0
2021-11-17,80.46,80.99,80.07,80.1,EUR,0
2021-11-18,80.62,80.66,78.75,78.75,EUR,0
2021-11-19,78.26,79.38,77.89,79.05,EUR,0
2021-11-22,78.26,78.26,75.98,75.98,EUR,0
2021-11-23,75.3,75.44,73.81,75.13,EUR,0
2021-11-24,76.49,78.67,76.06,78.59,EUR,0
2021-11-25,79.09,80.21,78.14,80.16,EUR,0
2021-11-26,77.64,78.16,76.43,76.43,EUR,0
2021-11-29,76.43,77.74,75.69,77.2,EUR,0
2021-11-30,76.13,77.76,75.41,76.58,EUR,0
