Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
25.08.2021;99,640;100,180;98,400;98,480;EUR;0
26.08.2021;98,210;98,740;97,530;98,490;EUR;0
27.08.2021;99,360;99,780;98,480;99,090;EUR;0
30.08.2021;98,580;98,730;97,260;97,280;EUR;0
31.08.2021;97,670;99,830;97,490;99,260;EUR;0
01.09.2021;100,440;100,580;99,640;100,130;EUR;0
02.09.2021;99,680;100,970;99,680;99,940;EUR;0
03.09.2021;101,050;101,110;99,170;99,560;EUR;0
06.09.2021;98,950;98,950;98,190;98,320;EUR;0
07.09.2021;97,850;98,580;97,630;97,860;EUR;0
08.09.2021;97,480;97,580;95,820;95,850;EUR;0
09.09.2021;94,870;95,920;94,690;95,840;EUR;0
10.09.2021;95,640;95,640;93,570;93,790;EUR;0
13.09.2021;90,790;92,920;90,790;91,570;EUR;0
14.09.2021;90,630;90,870;89,690;90,870;EUR;0
15.09.2021;90,020;90,250;89,380;89,950;EUR;0
16.09.2021;89,520;89,540;88,630;89,240;EUR;0
17.09.2021;90,110;90,950;89,960;90,690;EUR;0
20.09.2021;89,850;91,520;88,780;91,370;EUR;0
21.09.2021;90,460;91,310;90,160;90,710;EUR;0
22.09.2021;90,760;90,760;89,650;89,910;EUR;0
23.09.2021;90,010;91,150;89,850;90,100;EUR;0
24.09.2021;89,910;90,270;89,170;89,380;EUR;0
27.09.2021;87,820;90,060;87,710;89,800;EUR;0
28.09.2021;89,230;90,020;89,030;89,120;EUR;0
29.09.2021;88,540;88,640;87,950;88,360;EUR;0
30.09.2021;88,350;88,350;86,770;87,490;EUR;0
01.10.2021;86,850;87,900;86,300;86,730;EUR;0
04.10.2021;86,060;87,540;85,960;87,260;EUR;0
05.10.2021;87,400;87,660;86,710;87,390;EUR;0
06.10.2021;85,420;86,160;84,950;85,920;EUR;0
07.10.2021;84,290;85,100;82,920;84,370;EUR;0
08.10.2021;84,440;84,800;83,180;83,180;EUR;0
11.10.2021;84,750;85,040;82,650;82,790;EUR;0
12.10.2021;82,240;83,500;82,150;82,250;EUR;0
13.10.2021;82,730;84,100;82,730;83,730;EUR;0
14.10.2021;83,440;83,940;83,110;83,910;EUR;0
15.10.2021;83,660;83,680;82,830;83,140;EUR;0
18.10.2021;83,130;83,250;80,660;81,080;EUR;0
19.10.2021;81,480;82,460;80,460;82,340;EUR;0
20.10.2021;82,640;83,070;81,910;81,920;EUR;0
21.10.2021;81,450;83,980;81,370;83,820;EUR;0
22.10.2021;83,660;84,090;82,220;82,220;EUR;0
25.10.2021;82,050;82,770;81,500;82,460;EUR;0
26.10.2021;83,290;85,060;83,290;84,300;EUR;0
27.10.2021;83,730;83,930;82,460;82,510;EUR;0
28.10.2021;82,380;83,330;82,240;83,330;EUR;0
29.10.2021;83,370;84,820;83,370;84,240;EUR;0
01.11.2021;85,590;85,590;83,420;83,670;EUR;0
02.11.2021;83,310;86,680;82,990;86,140;EUR;0
03.11.2021;86,450;86,580;84,870;84,920;EUR;0
05.11.2021;84,680;85,420;84,090;85,230;EUR;0
08.11.2021;85,100;85,100;83,780;84,540;EUR;0
09.11.2021;84,230;84,890;83,630;83,790;EUR;0
10.11.2021;82,700;83,180;81,830;82,610;EUR;0
11.11.2021;79,380;79,830;79,080;79,280;EUR;0
12.11.2021;82,840;83,090;80,330;80,650;EUR;0
15.11.2021;80,590;81,920;80,480;80,880;EUR;0
16.11.2021;80,330;81,670;79,970;81,080;EUR;0
17.11.2021;80,460;80,990;80,070;80,100;EUR;0
18.11.2021;80,620;80,660;78,750;78,750;EUR;0
19.11.2021;78,260;79,380;77,890;79,050;EUR;0
22.11.2021;78,260;78,260;75,980;75,980;EUR;0
23.11.2021;75,300;75,440;73,810;75,130;EUR;0
24.11.2021;76,490;78,670;76,060;78,590;EUR;0
25.11.2021;79,090;80,210;78,140;80,160;EUR;0
26.11.2021;77,640;78,160;76,430;76,430;EUR;0
29.11.2021;76,430;77,740;75,690;77,200;EUR;0
30.11.2021;76,130;77,760;75,410;76,580;EUR;0
01.12.2021;78,530;78,530;76,750;77,080;EUR;0
02.12.2021;76,930;77,330;75,060;75,460;EUR;0
03.12.2021;75,750;75,870;72,620;72,900;EUR;0
06.12.2021;72,750;72,960;70,650;71,860;EUR;0
07.12.2021;73,260;75,450;73,250;75,230;EUR;0
08.12.2021;75,400;76,260;74,500;75,190;EUR;0
09.12.2021;74,970;77,150;74,970;75,870;EUR;0
10.12.2021;75,190;75,540;73,150;73,380;EUR;0
