Date,Stock,volaY1,volaY2,timeRemaining,until22,until23,until24,until25,untilmaturity,b0,b1,b2,b3,t1,t2,riskFree,riskFreeDaily
2018-04-19,85.5,0.0011055122787350267,0.00156343045795706,9.095833333333333,1135,1396,1658,1918,2183,1.6486,-2.40651,-2.5098,0.37201,2.27912,0.12655,0.004910630494056865,3.1697983538100894e-4
2018-04-20,85.300003,0.001993036363368702,0.0028185790553787705,9.091666666666667,1134,1395,1657,1917,2182,1.70113,-2.404,-2.71931,0.24051,2.19908,0.10605,0.00494726887841449,3.1934483292182607e-4
2018-04-23,85.599998,0.002968719950533992,0.004198404016932756,9.0875,1133,1394,1656,1916,2181,1.74804,-2.40702,-2.85313,0.2543,2.13955,0.01893,0.005106481128140264,3.2962193945016175e-4
2018-04-24,86,0.016465316532725992,0.023285473949347043,9.083333333333334,1132,1393,1655,1915,2180,1.76462,-2.74412,-2.24373,0.83444,2.40611,0.24622,0.005910049410043848,3.8149204900604655e-4
2018-04-25,83.099998,0.017834882454401003,0.025222332650343852,9.079166666666667,1131,1392,1654,1914,2179,1.7372,-2.36462,-2.90818,-0.00785,2.07868,0.187,0.004940671852209136,3.189189967113623e-4
2018-04-26,81.900002,0.02642359366991617,0.03736860453463131,9.075,1130,1391,1653,1913,2178,1.71888,-2.35187,-2.90435,-4.9e-4,2.11646,0.01169,0.0047985642302788714,3.0974598915961137e-4
2018-04-27,85.349998,0.026935450561073774,0.038092479492100526,9.070833333333333,1129,1390,1652,1912,2177,1.67419,-2.30866,-2.86418,-4.9e-4,2.15493,0.01169,0.004549301662086741,2.936561595689278e-4
2018-04-30,86.300003,0.027046735161545495,0.0382498596833709,9.066666666666666,1128,1389,1651,1911,2176,1.67419,-2.30866,-2.86418,-4.9e-4,2.15493,0.01169,0.004549301662086741,2.936561595689278e-4
2018-05-02,86.75,0.028729594674098906,0.04062978242959251,9.058333333333334,1126,1387,1649,1909,2174,1.71738,-2.32638,-2.99234,-4.9e-4,2.15512,0.01169,0.004646116563705248,2.999055345961476e-4
2018-05-03,88.550003,0.029634586739804215,0.041909634482753005,9.054166666666667,1125,1386,1648,1908,2173,1.71169,-2.31569,-3.02338,-4.9e-4,2.16583,0.01169,0.004544905415077652,2.933723830447276e-4
2018-05-04,87.199997,0.029639694380884353,0.041916857778040266,9.05,1124,1385,1647,1907,2172,1.67727,-2.25566,-3.03378,-4.9e-4,2.1804,0.01169,0.004324685815589449,2.7915726902262296e-4
2018-05-07,87.099998,0.031425870566674056,0.04444289236477191,9.045833333333333,1123,1384,1646,1906,2171,1.67727,-2.25566,-3.03378,-4.9e-4,2.1804,0.01169,0.004324685815589449,2.7915726902262296e-4
2018-05-08,89.050003,0.03148186490661145,0.04452208031972751,9.041666666666666,1122,1383,1645,1905,2170,1.66357,-2.23035,-3.09438,-3.6768,2.12457,1e-4,0.0036006114599042892,2.324184703395481e-4
2018-05-09,88.699997,0.03161532685083363,0.044710824011307194,9.0375,1121,1382,1644,1904,2169,1.70891,-2.28689,-3.06056,-7.3536,2.11728,2e-4,0.0034803321354385424,2.246544733303995e-4
2018-05-10,89.25,0.0344933156780888,0.04878091484316968,9.033333333333333,1120,1381,1643,1903,2168,1.69205,-2.27197,-3.07018,-0.4596,2.12959,1e-4,0.004285704488966971,2.766410352089241e-4
2018-05-11,91.900002,0.03626816148824914,0.051290925859019516,9.029166666666667,1119,1380,1642,1902,2167,1.70666,-2.23959,-1.75451,-1.03642,2.67251,1.30838,0.007423731217311435,4.791997895227883e-4
2018-05-14,89.75,0.03645098159387458,0.051549472531869485,9.025,1118,1379,1641,1901,2166,1.725,-2.21374,-2.82507,-0.41765,2.22296,0.64111,0.005321762477717721,3.4351829081120423e-4
2018-05-15,90.449997,0.036758555101803037,0.05198444715820858,9.020833333333334,1117,1378,1640,1900,2165,1.73962,-2.21039,-3.11945,-0.29984,2.0836,0.34658,0.004823012848509575,3.113241406803663e-4
2018-05-16,89.550003,0.03680603210777844,0.052051589783959865,9.016666666666667,1116,1377,1639,1899,2164,1.76767,-2.32095,-1.89038,-2.31744,1.3955,2.62909,0.0073464676286387285,4.742124463194948e-4
2018-05-17,89.199997,0.03683934453844844,0.052098700675209,9.0125,1115,1376,1638,1898,2163,1.78919,-2.35151,-2.57378,-0.46575,2.29509,1.14228,0.006189713144072052,3.9954426541320345e-4
2018-05-18,89.5,0.03766142916082595,0.05326130389759363,9.008333333333333,1114,1375,1637,1897,2162,1.81447,-2.36647,-2.13408,-0.76272,2.47409,1.21237,0.007364519379471053,4.753776818252194e-4
2018-05-22,91.400002,0.03813290501583305,0.05392807144607612,9,1112,1373,1635,1895,2160,1.73056,-2.27151,-2.8278,-0.40907,2.19869,1.05641,0.005230269249815708,3.376124283452833e-4
2018-05-23,92.5,0.03851667027056847,0.054470797474090525,8.995833333333334,1111,1372,1634,1894,2159,1.72355,-2.26904,-1.88236,-1.06302,2.68333,1.37103,0.007225702037480678,4.6641706093032774e-4
2018-05-24,91.449997,0.03852052855610174,0.054476253913819175,8.991666666666667,1110,1371,1633,1893,2158,1.70571,-2.34858,-3.05931,0.36438,2.17823,0.06684,0.004373256905309314,2.8229251938249265e-4
