Date,b0,b1,b2,b3,t1,t2
1997-08-07,7.351,-4.332,-1.015,-0.848,2.458,1.548
1997-08-08,7.481,-4.435,-1.791,-0.476,2.451,1.227
1997-08-11,7.4138,-4.36372,-2.6992,-0.24174,2.06339,1.57219
1997-08-12,7.33101,-4.26815,-1.33451,-0.94145,2.34563,1.51546
1997-08-13,7.35156,-4.27221,-1.01935,-0.83025,2.44592,1.75185
1997-08-14,7.00844,-3.94443,-2.35539,2.80751,3.4489,5.24099
1997-08-15,6.87916,-3.77954,-3.81546,5.71126,4.66424,5.53113
1997-08-18,7.29734,-4.16609,-1.05456,-0.94923,2.4423,1.64502
1997-08-19,7.21204,-4.10606,-1.50419,-0.91986,2.19621,1.88337
1997-08-20,7.07619,-4.02558,3.4031,-1.855,4.80625,3.34807
1997-08-21,6.81192,-3.7359,-1.46027,2.50632,3.63092,5.84764
1997-08-22,6.87055,-3.76639,3.54304,-0.65749,6.00456,4.22715
1997-08-25,7.10359,-4.01345,-1.63241,1.7511,3.20284,5.07719
1997-08-26,7.09901,-4.0102,-2.49611,3.67981,4.12647,4.6633
1997-08-27,6.9254,-3.82183,-1.46223,4.12823,5.7243,5.97778
1997-08-28,6.60562,-3.53544,-2.8031,7.3445,7.83011,7.48815
1997-08-29,7.23291,-4.14505,-2.13396,-0.28972,2.03027,2.07338
1997-09-01,7.30846,-4.13282,-0.98838,-0.37797,2.78661,0.83496
1997-09-02,7.25671,-4.14574,-1.98736,-1.41993,1.59628,2.75693
1997-09-03,7.20477,-4.03351,1.13708,-0.40241,4.52859,0.3987
1997-09-04,7.17985,-4.12284,1.76845,-0.2888,4.82576,10.68761
1997-09-05,7.08903,-4.05051,-1.24868,1.08121,3.0787,4.33326
1997-09-08,7.20661,-4.17771,3.29991,-0.75651,6.27327,10.13935
1997-09-09,7.16825,-4.10916,-0.54596,-0.74056,2.51657,1.74638
1997-09-10,7.18472,-4.11794,-0.71315,-0.63092,2.63897,1.83088
1997-09-11,7.17216,-4.09708,-0.98338,-0.71896,2.3455,1.95217
1997-09-12,7.17934,-4.08217,-0.92255,-0.71238,2.42411,1.8152
1997-09-15,7.08373,-4.00547,-0.08629,1.10022,4.1889,5.10512
1997-09-16,6.70181,-3.56427,3.04055,-0.05701,6.18447,0.55881
1997-09-17,7.0303,-3.91735,0.89203,-0.67615,4.36058,0.01505
1997-09-18,7.06652,-3.94664,-0.15298,-0.06039,3.41144,2.24241
1997-09-19,7.03158,-3.89853,0.39343,-0.08797,3.97134,1e-4
1997-09-22,6.90445,-3.77378,-0.12289,0.26587,3.43136,2.08437
1997-09-23,7.04905,-3.96415,0.65629,0.25735,4.36152,1.24739
1997-09-24,6.83491,-3.72673,2.15601,0.45941,6.37397,2.07274
1997-09-25,6.94219,-3.83207,0.59986,0.20873,4.14387,2.23036
1997-09-26,6.90689,-3.72959,0.5555,-0.06619,3.85498,1e-4
1997-09-29,4.47263,-1.34583,7.2e-4,6.8761,1.58408,15.34778
1997-09-30,6.91168,-3.73383,-0.82036,0.22393,2.88888,2.82603
1997-10-01,6.91955,-3.78738,0.22753,-1.3501,2.49967,3.52286
1997-10-02,6.85356,-3.64979,-1.9497,-3.78562,0.71733,2.23776
1997-10-06,6.89583,-3.80363,1.34641,-2.28084,2.62169,3.62109
1997-10-07,6.7448,-3.62388,-1.66519,-3.6628,0.73386,2.18212
1997-10-08,6.76906,-3.69231,0.24429,-2.25627,1.76857,2.71625
1997-10-09,6.813,-3.72534,-1.02802,-2.88701,1.00124,2.54207
1997-10-10,6.64512,-3.40401,1.78638,-2.96449,1.62923,2.30517
1997-10-13,6.60909,-3.428,5.75877,-7.4143,1.32428,1.5676
1997-10-14,6.75065,-3.45595,-0.02879,-1.48288,1.75349,3.40963
1997-10-15,6.71932,-3.41789,-1.57718,-3.0987,0.64632,2.16171
1997-10-16,6.8507,-3.61845,2.31631,-3.85567,1.51285,2.36855
1997-10-17,6.7754,-3.51327,-1.53837,-3.15955,0.5568,2.02889
1997-10-20,6.82313,-3.56072,-0.6497,-2.7122,0.86109,2.52158
1997-10-21,6.82008,-3.48191,1.76222,-2.95779,1.65384,2.45346
1997-10-22,6.83749,-3.45781,0.94522,-2.35701,1.56355,2.88154
1997-10-23,6.8443,-3.41992,-0.69521,-2.39807,0.99659,2.66644
1997-10-24,6.91276,-3.46451,0.62325,-2.47893,1.52443,2.53151
1997-10-27,6.88479,-3.39011,1.76418,-3.54372,1.77365,2.33824
1997-10-28,7.47952,-4.02306,0.7932,-2.10262,3.40409,6.71489
1997-10-29,7.29277,-3.84953,0.31097,-2.14681,2.41225,5.72491
1997-10-30,6.92732,-3.49902,1.15794,-3.13005,1.80734,2.44641
1997-10-31,7.06106,-3.60941,-0.01137,-1.9444,2.02984,3.65331
1997-11-03,7.00287,-3.54187,0.83858,-2.15626,2.31025,3.07439
1997-11-04,7.0122,-3.5341,0.87185,-2.13979,2.40508,3.09539
1997-11-05,7.49414,-4.01264,-0.87304,-2.40388,2.06148,7.21183
1997-11-06,8.51889,-4.98623,-0.47959,-4.7907,2.82851,11.391540000000001
1997-11-07,8.43073,-4.87206,2.56982,-5.19161,4.84971,10.52222
1997-11-10,7.2774,-3.71466,-0.59249,-1.95107,2.13303,6.80456
1997-11-11,7.0142,-3.482,-0.9896,-2.17083,1.36799,4.0226
1997-11-12,7.69352,-4.11648,-0.06097,-2.92893,2.6916,8.54163
1997-11-13,8.41692,-4.82643,-0.99934,-4.74501,2.47343,10.71891
1997-11-14,8.39278,-4.76573,-1.98179,-4.61145,2.17628,10.99445
1997-11-17,7.58166,-3.91399,-2.40417,-2.75235,1.59837,7.85092
1997-11-18,8.15256,-4.53467,-2.2237,-4.27699,1.92326,9.8026
1997-11-19,8.00638,-4.41189,-1.88581,-3.93631,1.93856,9.3649
1997-11-20,6.96869,-3.39399,-0.99226,-1.02538,2.16022,6.24811
1997-11-21,9.1231,-5.55719,-1.73309,-6.86243,2.50357,12.26993
1997-11-24,6.95592,-3.39682,-0.97452,-1.16166,2.15136,6.54955
1997-11-25,9.10249,-5.55253,5.1077,-8.87094,6.00627,11.29829
1997-11-26,8.31779,-4.69159,-2.40538,-5.15667,1.82539,9.8793
1997-11-27,6.86858,-3.2558,-1.07221,-0.90581,2.12411,6.37
1997-11-28,6.85808,-3.23901,-1.50024,-0.8696,1.93959,7.55748
1997-12-01,7.2102,-3.55727,-2.09885,-2.46226,1.55336,7.23961
1997-12-02,6.83486,-3.23708,-1.00678,-1.17254,2.06881,6.33581
1997-12-03,7.49937,-3.8952,-1.52923,-3.58094,1.65904,7.81282
1997-12-04,7.02261,-3.45552,3.5248,-3.93609,4.01799,5.93384
1997-12-05,6.8036,-3.21295,-1.38936,-1.89928,1.4547,5.07507
1997-12-08,8.18476,-4.58529,24.25071,-25.76927,6.50456,7.45779
1997-12-09,7.35516,-3.79801,4.47609,-5.63907,4.23764,6.4895
1997-12-10,6.58993,-3.03293,1.04927,-1.27414,2.93166,4.61321
1997-12-11,6.58595,-3.02471,-0.4537,-0.57112,2.3947600000000002,5.36095
1997-12-12,6.5989,-2.99602,-0.79536,-1.5548,1.79306,4.21745
1997-12-15,7.36421,-3.77559,-1.68221,-3.45293,1.82081,8.50679
1997-12-16,6.39733,-2.7597,-1.15269,-1.59499,1.36075,3.27841
1997-12-17,7.05987,-3.50037,-1.41808,-2.64317,1.65965,7.24464
1997-12-18,6.96351,-3.47218,0.32912,-1.83521,3.26417,8.91527
1997-12-19,6.65802,-3.0497,-1.98063,-2.17518,1.23202,4.38347
1997-12-22,8.82251,-5.3567,-0.89954,-5.92013,4.04751,17.83854
1997-12-23,6.48076,-3.04305,-0.24299,1.43573,5.6192,3.72923
1997-12-29,6.67301,-3.25515,0.87446,-0.82893,4.14525,7.38367
1997-12-30,6.54269,-3.12267,0.4406,-1.53018,2.45558,3.29497
1998-01-02,6.59502,-3.17276,-0.32885,-0.59994,2.55844,6.18944
1998-01-05,6.41833,-3.0226,-0.03558,-1.18878,2.29046,3.56605
1998-01-06,6.53776,-3.089,-1.01577,-1.62258,1.78576,5.151
1998-01-07,6.40203,-2.95082,0.36031,-1.08121,3.13314,5.74583
1998-01-08,6.30328,-2.93764,0.62286,-1.63606,2.3562,3.0856
1998-01-09,6.20564,-2.81331,-1.42794,0.29152,2.4611,2.24987
1998-01-12,6.10641,-2.65423,-1.12017,-0.36667,2.40704,0.99561
1998-01-13,8.65075,-5.31094,27.5147,-30,8.62383,9.91056
1998-01-14,6.2609,-2.88111,-0.96827,-0.02698,2.69921,4.39906
1998-01-15,8.65451,-5.24091,-2.85035,-7.22871,2.09068,11.21151
1998-01-16,6.8107,-3.45372,-1.24621,-1.6152,2.54804,10.40444
1998-01-19,6.64497,-3.28971,-1.45293,-1.1756,2.3117,9.40533
1998-01-20,6.20959,-2.83383,-1.39719,-0.67434,1.90045,3.29299
1998-01-21,6.22993,-2.88909,0.46546,-1.32863,2.82645,2.92065
1998-01-22,6.85193,-3.48658,-1.01166,-1.65749,2.66067,11.58346
1998-01-23,6.27153,-2.96158,2.3e-4,-3.45951,1.0267,1.9284
1998-01-26,6.40892,-3.03302,-0.06152,-0.56376,3.20362,2.68173
